DOID:0001816	angiosarcoma	MESH:D006394	Hemangiosarcoma	false	
DOID:0001816	angiosarcoma	MESH:D006394	Hemangiosarcoma	true	
DOID:0002116	pterygium	MESH:D011625	Pterygium	false	
DOID:0002116	pterygium	MESH:D011625	Pterygium	true	
DOID:0014667	disease of metabolism	MESH:D008659	Metabolic Diseases	false	
DOID:0014667	disease of metabolism	MESH:D008659	Metabolic Diseases	true	
DOID:0050012	chikungunya	MESH:D065632	Chikungunya Fever	false	
DOID:0050012	chikungunya	MESH:D065632	Chikungunya Fever	true	
DOID:0050052	Rocky Mountain spotted fever	MESH:D012373	Rocky Mountain Spotted Fever	false	
DOID:0050052	Rocky Mountain spotted fever	MESH:D012373	Rocky Mountain Spotted Fever	true	
DOID:0050061	erysipeloid	MESH:D004887	Erysipeloid	false	
DOID:0050061	erysipeloid	MESH:D004887	Erysipeloid	true	
DOID:0050083	Keshan disease	MESH:C536166	Keshan disease	false	
DOID:0050083	Keshan disease	MESH:C536166	Keshan disease	true	
DOID:0050117	disease by infectious agent	MESH:D003141	Communicable Diseases	false	
DOID:0050117	disease by infectious agent	MESH:D003141	Communicable Diseases	true	
DOID:0050118	La Crosse encephalitis	MESH:D004670	Encephalitis, California	false	
DOID:0050118	La Crosse encephalitis	MESH:D004670	Encephalitis, California	true	
DOID:0050120	hemophagocytic lymphohistiocytosis	MESH:D051359	Lymphohistiocytosis, Hemophagocytic	false	
DOID:0050120	hemophagocytic lymphohistiocytosis	MESH:D051359	Lymphohistiocytosis, Hemophagocytic	true	
DOID:0050125	dengue shock syndrome	MESH:C535601	Dosage-sensitive sex reversal	false	
DOID:0050125	dengue shock syndrome	MESH:C535601	Dosage-sensitive sex reversal	true	
DOID:0050125	dengue shock syndrome	MESH:D019595	Severe Dengue	false	
DOID:0050125	dengue shock syndrome	MESH:D019595	Severe Dengue	true	
DOID:0050127	sinusitis	MESH:D012852	Sinusitis	false	
DOID:0050127	sinusitis	MESH:D012852	Sinusitis	true	
DOID:0050133	superficial mycosis	MESH:D010854	Piedra	false	
DOID:0050133	superficial mycosis	MESH:D010854	Piedra	true	
DOID:0050144	Kartagener syndrome	MESH:D007619	Kartagener Syndrome	false	
DOID:0050144	Kartagener syndrome	MESH:D007619	Kartagener Syndrome	true	
DOID:0050147	otomycosis	MESH:D059249	Otomycosis	false	
DOID:0050147	otomycosis	MESH:D059249	Otomycosis	true	
DOID:0050152	aspiration pneumonia	MESH:D011015	Pneumonia, Aspiration	false	
DOID:0050152	aspiration pneumonia	MESH:D011015	Pneumonia, Aspiration	true	
DOID:0050155	sensory system disease	MESH:D012678	Sensation Disorders	false	
DOID:0050156	idiopathic pulmonary fibrosis	MESH:D054990	Idiopathic Pulmonary Fibrosis	false	
DOID:0050156	idiopathic pulmonary fibrosis	MESH:D054990	Idiopathic Pulmonary Fibrosis	true	
DOID:0050157	cryptogenic organizing pneumonia	MESH:D018549	Cryptogenic Organizing Pneumonia	false	
DOID:0050157	cryptogenic organizing pneumonia	MESH:D018549	Cryptogenic Organizing Pneumonia	true	
DOID:0050158	desquamative interstitial pneumonia	MESH:C562470	Interstitial Pneumonitis, Desquamative, Familial	false	
DOID:0050158	desquamative interstitial pneumonia	MESH:C562470	Interstitial Pneumonitis, Desquamative, Familial	true	
DOID:0050159	lymphoid interstitial pneumonia	MESH:C562489	Lymphoid Interstitial Pneumonia	false	
DOID:0050159	lymphoid interstitial pneumonia	MESH:C562489	Lymphoid Interstitial Pneumonia	true	
DOID:0050160	inhalation anthrax	MESH:C571912	Inhalation anthrax	false	
DOID:0050160	inhalation anthrax	MESH:C571912	Inhalation anthrax	true	
DOID:0050167	autoimmune polyendocrine syndrome type 1	MESH:C538275	Autoimmune polyendocrinopathy syndrome, type 1	false	
